source	target	weight	resources
RFX1	PCNA	-1.0	DoRothEA-A;ExTRI;NTNU.Curated;TRRUST
CRX	SAG	1.0	ExTRI
NRL	SAG	1.0	ExTRI
E2F1	DHFR	1.0	ExTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
TBP	DHFR	1.0	ExTRI
PAX5	IL2	1.0	ExTRI
USF1	JCHAIN	1.0	ExTRI
NR5A1	GRIN2C	1.0	ExTRI;NTNU.Curated
JDP2	POLI	1.0	ExTRI
UBTF	POLI	1.0	ExTRI
JUN	THBS1	1.0	ExTRI;NTNU.Curated;TFactS
WT1	THBS1	1.0	ExTRI;TRRUST
SP1	IGFBP4	1.0	DoRothEA-A;ExTRI;HTRI;TRRUST
ESR2	PRL	1.0	ExTRI;HTRI;NTNU.Curated
NR5A1	CTLA4	1.0	ExTRI
MYBL2	BCL2	1.0	ExTRI
ELF2	TEK	1.0	ExTRI;TRRUST
ELF1	CD4	1.0	ExTRI;GEREDB;TFactS
AR	NCOA4	1.0	ExTRI
